date,open,high,low,close,VWAP,volume,Change Percent,Change,Trade Value
2020/5/29,79.2783,79.7501,78.588,78.953,79.1438,38399532,-0.097,-0.076981,12259881500
2020/6/1,78.9058,80.0481,78.7717,79.924,79.6826,20254653,1.23,0.970958,6580847510
2020/6/2,79.6496,80.3188,79.1988,80.294,79.8234,21910704,0.463,0.370007,7043943800
2020/6/3,80.6217,81.0042,80.0357,80.736,80.5436,26122804,0.551,0.442021,8471978400
2020/6/4,80.5547,80.8601,79.6582,80.0407,80.2855,21890091,-0.861,-0.695315,7077237040
2020/6/5,80.2964,82.3824,80.2666,82.3203,81.7147,34312550,2.848,2.2796,11323542800
2020/6/8,82.0099,82.8418,81.2823,82.807,82.2122,23913634,0.591,0.48672,7916274550
2020/6/9,82.4792,85.8242,82.447,85.4219,84.7785,36928091,3.158,2.6149,12605361400
2020/6/10,86.3929,88.0989,85.9434,87.6196,87.2845,41662938,2.573,2.1977,14638216000
2020/6/11,86.743,87.1776,83.3086,83.4129,85.1894,50415613,-4.801,-4.2067,17288038900
2020/6/12,85.6032,86.368,82.9966,84.1331,84.4195,50036513,0.863,0.720148,17004995800
2020/6/15,82.7549,85.8416,82.5885,85.1736,84.3291,34702230,1.237,1.0405,11790091200
2020/6/16,87.2769,87.709,85.6032,87.4309,87.1327,41357182,2.65,2.2573,14504723800
2020/6/17,88.1932,88.2553,87.185,87.3092,87.8337,28601626,-0.139,-0.121679,10115358400
2020/6/18,87.2645,87.7711,86.7207,87.344,87.2981,24205096,0.04,0.034766,8508871180
2020/6/19,88.0653,88.5434,85.71,86.8448,87.0228,66118952,-0.571,-0.499137,23159095300
2020/6/22,87.2471,89.2635,87.1999,89.117,88.5525,33861316,2.616,2.2722,12071117100
2020/6/23,90.3909,92.4719,89.9613,91.0192,91.3029,53038869,2.134,1.9022,19569799900
2020/6/24,90.6392,91.5804,89.0301,89.4125,89.9525,48155849,-1.765,-1.6067,17439552500
2020/6/25,89.5714,90.6392,88.7942,90.5995,89.8663,34380628,1.328,1.187,12437749300
2020/6/26,90.4927,90.7187,87.6643,87.8158,88.7188,51314211,-3.073,-2.7837,18328433400
2020/6/29,87.7214,89.9374,87.2322,89.8396,89.0663,32661519,2.305,2.0239,11712736200
2020/6/30,89.4175,90.8826,89.3976,90.5896,90.3543,35055821,0.835,0.749946,12753648500
2020/7/1,90.669,91.2253,90.3686,90.4182,90.819,27690454,-0.189,-0.171344,10124971500
2020/7/2,91.347,91.9976,90.3015,90.4182,91.0394,28814516,0,0,10565011300
2020/7/6,91.8809,93.3162,91.8486,92.8369,92.7259,29745936,2.675,2.4187,11106213200
2020/7/7,93.2243,94.0215,92.4347,92.5489,93.3012,28206999,-0.31,-0.288059,10590152400
2020/7/8,93.5496,94.7366,93.4602,94.7044,94.2604,29274479,2.329,2.1555,11109259300
2020/7/9,95.6182,95.6728,94.0388,95.0421,94.9654,31420357,0.357,0.337723,12013488300
2020/7/10,94.6969,95.3376,94.0713,95.278,94.8154,22564330,0.248,0.23591,8614291190
2020/7/13,96.614,99.286,94.6199,94.8385,97.2463,47913079,-0.461,-0.439537,18752981200
